Class;Sex;Age;Survived;Freq
1st;Male;Child;0;0
2nd;Male;Child;0;0
3rd;Male;Child;0;35
Crew;Male;Child;0;0
1st;Female;Child;0;0
2nd;Female;Child;0;0
3rd;Female;Child;0;17
Crew;Female;Child;0;0
1st;Male;Adult;0;118
2nd;Male;Adult;0;154
3rd;Male;Adult;0;387
Crew;Male;Adult;0;670
1st;Female;Adult;0;4
2nd;Female;Adult;0;13
3rd;Female;Adult;0;89
Crew;Female;Adult;0;3
1st;Male;Child;1;5
2nd;Male;Child;1;11
3rd;Male;Child;1;13
Crew;Male;Child;1;0
1st;Female;Child;1;1
2nd;Female;Child;1;13
3rd;Female;Child;1;14
Crew;Female;Child;1;0
1st;Male;Adult;1;57
2nd;Male;Adult;1;14
3rd;Male;Adult;1;75
Crew;Male;Adult;1;192
1st;Female;Adult;1;140
2nd;Female;Adult;1;80
3rd;Female;Adult;1;76
Crew;Female;Adult;1;20
